Episódio;Título;Convidado;YouTube;Arquivo PNG;Canva;Página
#1;Crise de ansiedade: como controlar?;João Marcos Ferreira;https://youtu.be/Ztv9iBN5TLM;#1 - João Marcos Ferreira.png;https://www.canva.com/design/DAHT5YKM5yA/edit;4
#2;Vida corrida x saúde mental;Ana Beatriz Barbosa;https://youtu.be/MO3rG5BBGH8;#2 - Ana Beatriz Barbosa.png;https://www.canva.com/design/DAHT5YKM5yA/edit;3
#3;Não desista da maternidade;Talita Melo;https://youtu.be/c_ea3-0Uwxo;#3 - Talita Melo.png;https://www.canva.com/design/DAHT5YKM5yA/edit;2
#4;Como funciona o cérebro com TDAH;Alex Rocha;https://youtu.be/3i3jjUkiMSU;#4 - Alex Rocha.png;https://www.canva.com/design/DAHT5YKM5yA/edit;1
#5;O perigo da alfabetização precoce;João Lucas;https://youtu.be/dgmgi4nrOAQ;#5 - João Lucas.png;https://www.canva.com/design/DAHT5NXToGQ/edit;25
#6;É doença ou falta de ferro?;Tuane Villela;https://youtu.be/BIOxZ_ZkYHU;#6 - Tuane Villela.png;https://www.canva.com/design/DAHT5NXToGQ/edit;24
#7;Autismo, TDAH ou mutismo seletivo?;Natasha Ganem;https://youtu.be/nwgBRODgZ4c;#7 - Natasha Ganem.png;https://www.canva.com/design/DAHT5IrBs84/edit;25
#8;Maternidade atípica;Andressa Du Costa;https://youtu.be/I7dy9F2Beds;#8 - Andressa Du Costa.png;https://www.canva.com/design/DAHT5IrBs84/edit;24
#9;Posicionamento digital na saúde;Camila Nardi;https://youtu.be/lXhQIMzq6yw;#9 - Camila Nardi.png;https://www.canva.com/design/DAHT5IrBs84/edit;23
#10;Autismo feminino: o lado invisível;Elizangila Leite;https://youtu.be/bOHFBihZ9TQ;#10 - Elizangila Leite.png;https://www.canva.com/design/DAHT5IrBs84/edit;22
#11;Superdotação: a verdade escondida;Olzeni Ribeiro;https://youtu.be/5wryP9sMybM;#11 - Olzeni Ribeiro.png;https://www.canva.com/design/DAHT5NXToGQ/edit;23
#12;Como educar crianças autistas;Mariana Vilas Boas;https://youtu.be/K5YHndQPkNs;#12 - Mariana Vilas Boas.png;https://www.canva.com/design/DAHT5NXToGQ/edit;22
#13;A verdade sobre o emagrecimento;Tamiris Rachid;https://youtu.be/tSR6v05_DEs;#13 - Tamiris Rachid.png;https://www.canva.com/design/DAHT5NXToGQ/edit;21
#14;Fé e ciência: o método Billings;Pâmela Schitine;https://youtu.be/4CNFTmkOqeE;#14 - Pâmela Schitine.png;https://www.canva.com/design/DAHT5IrBs84/edit;21
#15;A batalha da dor crônica;Flávia Nascimento;https://youtu.be/OHGcc5-DRpU;#15 - Flávia Nascimento.png;https://www.canva.com/design/DAHT5NXToGQ/edit;20
